the, 0.633029480808512
and, 0.3695009298496997
of, 0.35203195024541933
to, 0.3248071705130941
a, 0.28203408432669735
in, 0.1866101643242584
was, 0.17798237858601873
that, 0.16953751410017986
he, 0.16154995274534312
it, 0.15179415261729826
i, 0.1477393981890796
you, 0.1191731959391482
his, 0.1185634584311454
had, 0.11429529587512575
her, 0.10271028322307246
with, 0.10261882259687205
as, 0.09487515624523643
for, 0.09444833998963446
not, 0.09341178622602969
she, 0.09304594372122801
but, 0.07658303100515228
at, 0.07048565592512424
be, 0.06951007591231975
which, 0.06883936465351666
is, 0.06801621901771288
him, 0.06673577025090699
s, 0.06173592268528399
have, 0.05978476265967501
said, 0.05804701076186702
this, 0.05451053321545075
on, 0.053870308832047804
all, 0.053047163196244015
my, 0.04865705313862382
there, 0.048108289381421296
so, 0.04707173561781653
by, 0.04649248498521386
no, 0.04298649431419774
or, 0.04289503368799732
they, 0.0428035730617969
from, 0.04179750617359227
were, 0.04158409804579129
if, 0.04124874241638975
one, 0.040699978659187216
would, 0.03951099051858175
me, 0.03923660863998049
who, 0.039145148013780065
what, 0.039053687387579646
an, 0.03627938172616688
been, 0.035761104844364504
then, 0.032377061674948936
when, 0.032224627297948234
them, 0.03176732416694613
out, 0.03170635041614585
’, 0.03085271790494192
we, 0.029755190390536874
could, 0.02938934788573519
their, 0.02932837413493491
up, 0.02905399225633365
little, 0.028627176000731686
are, 0.02807841224352916
man, 0.027224779732325233
more, 0.026523581598122008
your, 0.026096765342520045
very, 0.025913844090119202
will, 0.025883357214719065
do, 0.02527361970671626
any, 0.024938264077314715
into, 0.02289564342550532
upon, 0.022285905917502517
now, 0.021920063412700832
geoff, 0.021340812780098167
like, 0.021157891527697325
did, 0.02048718026889424
other, 0.02039571964269382
t, 0.02012133776409256
than, 0.019877442760891435
know, 0.01786530898448218
about, 0.01783482210908204
over, 0.01774336148288162
some, 0.017438492728880216
before, 0.01658486021767629
come, 0.016036096460473766
may, 0.016036096460473766
much, 0.016005609585073625
see, 0.015975122709673484
young, 0.015944635834273347
time, 0.015914148958873206
can, 0.015883662083473065
though, 0.015853175208072924
well, 0.015822688332672783
made, 0.015822688332672783
himself, 0.01567025395567208
way, 0.015609280204871803
only, 0.015487332703271241
old, 0.01524343770007012
came, 0.01521295082466998
how, 0.015091003323069419
should, 0.015091003323069419
say, 0.014786134569068016
even, 0.014694673942867595
think, 0.014572726441267034
such, 0.014298344562665773
must, 0.014206883936465351
yet, 0.014084936434864791
down, 0.01399347580866437
while, 0.013749580805463247
after, 0.013688607054662967
might, 0.013597146428462548
never, 0.013444712051461846
good, 0.013444712051461846
those, 0.013322764549861284
where, 0.013200817048260724
project, 0.013139843297460443
nothing, 0.013139843297460443
has, 0.013078869546660163
two, 0.013048382671260022
head, 0.012926435169659462
us, 0.012865461418859182
gutenberg, 0.012865461418859182
moment, 0.01259107954025792
back, 0.01259107954025792
great, 0.012530105789457638
thought, 0.012377671412456936
just, 0.012377671412456936
again, 0.012347184537056797
am, 0.012316697661656656
perhaps, 0.012164263284655955
go, 0.01158501265205329
own, 0.011554525776653151
these, 0.01152403890125301
our, 0.01143257827505259
life, 0.011188683271851468
work, 0.011158196396451327
make, 0.011158196396451327
away, 0.011127709521051188
face, 0.011097222645651047
eyes, 0.010883814517850065
too, 0.010792353891649644
without, 0.010578945763848662
herself, 0.010396024511447822
john, 0.01036553763604768
here, 0.0103045638852474
oh, 0.0101521295082467
mother, 0.01012164263284656
mrs, 0.010091155757446419
something, 0.01006066888204628
through, 0.009938721380445718
take, 0.009816773878845157
went, 0.009786287003445016
long, 0.009786287003445016
don, 0.009725313252644736
first, 0.009633852626444315
philip, 0.009603365751044176
quite, 0.009572878875644035
still, 0.009542392000243895
hand, 0.009511905124843754
house, 0.009420444498643333
every, 0.009420444498643333
many, 0.009359470747843053
tell, 0.009237523246242493
once, 0.009176549495442212
off, 0.009176549495442212
most, 0.009115575744641932
almost, 0.009024115118441511
indeed, 0.00890216761684095
place, 0.00890216761684095
men, 0.00881070699064053
mr, 0.00881070699064053
look, 0.00881070699064053
told, 0.00881070699064053
its, 0.00881070699064053
ll, 0.008780220115240388
thing, 0.008658272613639828
cried, 0.008658272613639828
let, 0.008658272613639828
another, 0.008627785738239687
heart, 0.008475351361238987
knew, 0.008444864485838846
people, 0.008414377610438705
day, 0.008353403859638425
enough, 0.008353403859638425
woman, 0.008170482607237585
get, 0.008109508856437304
mind, 0.008079021981037163
sir, 0.007865613853236182
right, 0.00783512697783604
country, 0.007804640102435902
ever, 0.00771317947623548
give, 0.00759123197463492
nelly, 0.007560745099234779
looked, 0.007499771348434499
door, 0.007499771348434499
seemed, 0.007499771348434499
full, 0.007377823846833938
done, 0.007377823846833938
lily, 0.007255876345233377
felt, 0.007255876345233377
saw, 0.007133928843632816
anything, 0.007133928843632816
put, 0.007072955092832536
being, 0.007072955092832536
course, 0.0070424682174323955
last, 0.007011981342032255
whom, 0.006981494466632115
better, 0.006951007591231974
tm, 0.006951007591231974
far, 0.006798573214231274
found, 0.006798573214231274
always, 0.006768086338831133
officer, 0.006737599463430993
side, 0.0066766257126307125
room, 0.006646138837230572
mademoiselle, 0.006646138837230572
going, 0.006585165086430291
half, 0.006493704460229871
left, 0.006493704460229871
under, 0.006493704460229871
asked, 0.006402243834029451
heard, 0.006402243834029451
hands, 0.00637175695862931
took, 0.00637175695862931
things, 0.00634127008322917
name, 0.0063107832078290295
why, 0.0063107832078290295
against, 0.006219322581628609
night, 0.006219322581628609
same, 0.006158348830828328
